"ref","company","company_location","review_date","country_of_bean_origin","cocoa_percent","rating","counts_of_ingredients","beans","cocoa_butter","vanilla","lecithin","salt","sugar","sweetener_without_sugar","first_taste","second_taste","third_taste"
129,"Amano","U.S.A.",2007,"Madagascar",70,3.5,4,"Yes","Yes","Yes","No","No","Yes","No","spice","nut","cocoa"
147,"Amano","U.S.A.",2007,"Venezuela",70,3,4,"Yes","Yes","Yes","No","No","Yes","No","waxy","nutty","mint"
304,"Amano","U.S.A.",2008,"Indonesia",70,2.75,4,"Yes","Yes","Yes","No","No","Yes","No","sticky","nutty","high acidity"
363,"Amano","U.S.A.",2009,"Venezuela",70,3,4,"Yes","Yes","Yes","No","No","Yes","No","hot spice","roasty",""
470,"Amano","U.S.A.",2010,"Ecuador",70,4,4,"Yes","Yes","Yes","No","No","Yes","No","strong spice","intense pepper",""
470,"Amano","U.S.A.",2010,"Dominican Republic",70,3.75,4,"Yes","Yes","Yes","No","No","Yes","No","orange","cinamon",""
544,"Amano","U.S.A.",2010,"Venezuela",70,3,4,"Yes","Yes","Yes","No","No","Yes","No","woody","red berry","sour"
725,"Amano","U.S.A.",2011,"Papua New Guinea",70,4,4,"Yes","Yes","Yes","No","No","Yes","No","tart","lemon","smoke"
322,"Amatller (Simon Coll)","Spain",2009,"Ghana",70,3,2,"Yes","No","No","No","No","Yes","No","dry","chalky","fudge-like"
464,"Amatller (Simon Coll)","Spain",2009,"Ghana",85,3,2,"Yes","No","No","No","No","Yes","No","roasty","oddly sweet","marshmallow"
327,"Amatller (Simon Coll)","Spain",2009,"Ecuador",70,2.75,2,"Yes","No","No","No","No","Yes","No","waxy mouthfeel","spicy",""
464,"Amatller (Simon Coll)","Spain",2009,"Ecuador",85,2.75,2,"Yes","No","No","No","No","Yes","No","fatty","mushroom","off notes"
1145,"Amazona","Peru",2013,"Peru",73,3.5,3,"Yes","Yes","No","No","No","Yes","No","oily","vegetal","nutty"
1145,"Amazona","Peru",2013,"Peru",72,3.25,3,"Yes","Yes","No","No","No","Yes","No","oily","vanilla","melon"
1498,"Ambrosia","Canada",2015,"Peru",68,3.5,2,"Yes","No","No","No","No","Yes","No","rich","sour","mild smoke"
1494,"Ambrosia","Canada",2015,"Madagascar",66,3.25,2,"Yes","No","No","No","No","Yes","No","fruity","sour",""
1498,"Ambrosia","Canada",2015,"Dominican Republic",75,3.25,2,"Yes","No","No","No","No","Yes","No","high roast","high astringnet",""
1498,"Ambrosia","Canada",2015,"Papua New Guinea",63,3.25,2,"Yes","No","No","No","No","Yes","No","smokey","savory",""
1498,"Ambrosia","Canada",2015,"Venezuela",70,3.25,2,"Yes","No","No","No","No","Yes","No","sandy","roasty","nutty"
1494,"Ambrosia","Canada",2015,"Belize",64,3,4,"Yes","Yes","No","Yes","No","Yes","No","roasty","brownie","nutty"
75,"Amedei","Italy",2006,"Blend",66,3.75,4,"Yes","Yes","Yes","No","No","Yes","No","red wine","rich cocoa","long"
123,"Amedei","Italy",2007,"Venezuela",70,3.75,4,"Yes","Yes","Yes","No","No","Yes","No","creamy","fruit","cocoa"
123,"Amedei","Italy",2007,"Grenada",70,3.5,4,"Yes","Yes","Yes","No","No","Yes","No","fruity with coffee notes","",""
129,"Amedei","Italy",2007,"Trinidad",70,3.5,4,"Yes","Yes","Yes","No","No","Yes","No","coffee","fruit","woodsy"
170,"Amedei","Italy",2007,"Blend",63,3.5,4,"Yes","Yes","Yes","No","No","Yes","No","fatty","dairy","caramel"
123,"Amedei","Italy",2007,"Ecuador",70,3,4,"Yes","Yes","Yes","No","No","Yes","No","creamy","earthy","vegetal"
123,"Amedei","Italy",2007,"Jamaica",70,3,4,"Yes","Yes","Yes","No","No","Yes","No","sandy","woody","spicy"
979,"Amedei","Italy",2012,"Peru",70,3.75,4,"Yes","Yes","Yes","No","No","Yes","No","creamy","raspberry","nutty"
2092,"Amedei","Italy",2018,"Blend",75,3.5,4,"Yes","Yes","Yes","No","No","Yes","No","sweet","delicate","complex"
2088,"Amedei","Italy",2018,"Madagascar",70,3,4,"Yes","Yes","Yes","No","No","Yes","No","vanilla","mint","roasty"
2088,"Amedei","Italy",2018,"Venezuela",70,3,4,"Yes","Yes","Yes","No","No","Yes","No","vanilla","nuts","roasty"
2092,"Amedei","Italy",2018,"Venezuela",70,3,4,"Yes","Yes","Yes","No","No","Yes","No","nutty","mild roasty","vanilla"
2434,"Amedei","Italy",2019,"Blend",70,2.75,3,"Yes","Yes","No","No","No","Yes","No","nut","fatty","rubbery"
572,"AMMA","Brazil",2010,"Brazil",60,4,4,"Yes","Yes","No","Yes","No","Yes","No","creamy","sweet","cocoa"
572,"AMMA","Brazil",2010,"Brazil",50,3.75,4,"Yes","Yes","No","Yes","No","Yes","No","very sweet","bright red","banana"
572,"AMMA","Brazil",2010,"Brazil",75,3.75,4,"Yes","Yes","No","Yes","No","Yes","No","roasty","fatty","nutty"
572,"AMMA","Brazil",2010,"Brazil",85,2.75,4,"Yes","Yes","No","Yes","No","Yes","No","creamy","red berry","bitter"
1065,"AMMA","Brazil",2013,"Brazil",75,3.25,4,"Yes","Yes","No","Yes","No","Yes","No","grainy","sweet","poor aftertaste"
1259,"Anahata","U.S.A.",2014,"Dominican Republic",75,3,2,"Yes","No","No","No","No","Yes","No","chalky","mild fruit","burnt"
1852,"Animas","U.S.A.",2016,"Bolivia",75,3.5,2,"Yes","No","No","No","No","Yes","No","light roast","caramel","cocoa"
1375,"Ara","France",2014,"Madagascar",75,3,3,"Yes","Yes","No","No","No","Yes","No","sandy","fruity","short"
1379,"Ara","France",2014,"Venezuela",75,3,3,"Yes","Yes","No","No","No","Yes","No","nutty","mild spice","mild earthy"
1379,"Ara","France",2014,"Ecuador",75,2.75,3,"Yes","Yes","No","No","No","Yes","No","bitter","floral","leather"
1379,"Ara","France",2014,"Mexico",72,2.5,3,"Yes","Yes","No","No","No","Yes","No","earthy","sour milk","leather"
1598,"Arete","U.S.A.",2015,"Nicaragua",70,4,2,"Yes","No","No","No","No","Yes","No","creamy","sticky","peanut butter"
1534,"Arete","U.S.A.",2015,"Ecuador",70,3.75,2,"Yes","No","No","No","No","Yes","No","spicy","cocoa",""
1598,"Arete","U.S.A.",2015,"Belize",70,3.75,2,"Yes","No","No","No","No","Yes","No","floral","strawberry","metallic"
1534,"Arete","U.S.A.",2015,"Brazil",70,3.5,2,"Yes","No","No","No","No","Yes","No","creamy","rich","rum"
1534,"Arete","U.S.A.",2015,"Peru",68,3.5,2,"Yes","No","No","No","No","Yes","No","floral","nutty","rich cocoa"
1598,"Arete","U.S.A.",2015,"Dominican Republic",70,3.5,2,"Yes","No","No","No","No","Yes","No","spicy","brownie","nutty"
1602,"Arete","U.S.A.",2015,"Ecuador",75,3.5,3,"Yes","Yes","No","No","No","Yes","No","intense","floral","bourbon"
1602,"Arete","U.S.A.",2015,"Guatemala",70,3.25,2,"Yes","No","No","No","No","Yes","No","strawberry","butterscotch","off"
1602,"Arete","U.S.A.",2015,"Brazil",75,2.75,2,"Yes","No","No","No","No","Yes","No","floral","chemical off",""
1908,"Arete","U.S.A.",2016,"Costa Rica",70,4,2,"Yes","No","No","No","No","Yes","No","balanced","cherry","choco"
1924,"Arete","U.S.A.",2016,"Peru",70,4,2,"Yes","No","No","No","No","Yes","No","creamy","complex","balanced"
1724,"Arete","U.S.A.",2016,"Tanzania",70,3.75,2,"Yes","No","No","No","No","Yes","No","appealing smoke","woody",""
1904,"Arete","U.S.A.",2016,"Nicaragua",70,3.75,3,"Yes","Yes","No","No","No","Yes","No","muddy","rich cocoa","raspberry"
1928,"Arete","U.S.A.",2016,"Dominican Republic",70,3.75,2,"Yes","No","No","No","No","Yes","No","dark berry","chocolatey",""
1724,"Arete","U.S.A.",2016,"Trinidad",70,3.5,2,"Yes","No","No","No","No","Yes","No","delicate","simple",""
1900,"Arete","U.S.A.",2016,"Vietnam",73,3.5,3,"Yes","Yes","No","No","No","Yes","No","cashew","roasty","chunky melt"
1904,"Arete","U.S.A.",2016,"Guatemala",70,3.5,2,"Yes","No","No","No","No","Yes","No","subtle","mysterious",""
1908,"Arete","U.S.A.",2016,"Honduras",70,3.5,2,"Yes","No","No","No","No","Yes","No","nutty","green",""
1904,"Arete","U.S.A.",2016,"Ecuador",70,3.25,3,"Yes","Yes","No","No","No","Yes","No","sticky","floral","roasty"
1904,"Arete","U.S.A.",2016,"Ecuador",70,3.25,3,"Yes","Yes","No","No","No","Yes","No","chewy","mild floral",""
1928,"Arete","U.S.A.",2016,"Fiji",70,3.25,2,"Yes","No","No","No","No","Yes","No","smoke","hammy","cocoa base"
1928,"Arete","U.S.A.",2016,"Vietnam",73,3.25,2,"Yes","No","No","No","No","Yes","No","earthy","nutty","cardboard"
2024,"Arete","U.S.A.",2017,"Bolivia",70,4,2,"Yes","No","No","No","No","Yes","No","creamy","bright fruit",""
2028,"Arete","U.S.A.",2017,"Haiti",70,4,2,"Yes","No","No","No","No","Yes","No","long lasting","cocoa",""
2020,"Arete","U.S.A.",2017,"India",70,3.5,2,"Yes","No","No","No","No","Yes","No","slight roasty","basic cocoa",""
2020,"Arete","U.S.A.",2017,"Madagascar",70,3.5,3,"Yes","Yes","No","No","No","Yes","No","sour fruit","",""
2020,"Arete","U.S.A.",2017,"Vietnam",73,3.5,3,"Yes","Yes","No","No","No","Yes","No","rich cocoa","mild roasty",""
2028,"Arete","U.S.A.",2017,"Peru",70,3.5,3,"Yes","Yes","No","No","No","Yes","No","dried fruit","fig","anise"
2254,"Arete","U.S.A.",2018,"Colombia",70,4,2,"Yes","No","No","No","No","Yes","No","smooth","nutty","cocoa"
2068,"Arete","U.S.A.",2018,"Trinidad",70,3,2,"Yes","No","No","No","No","Yes","No","nuts","dried fruit","short"
2330,"Arete","U.S.A.",2019,"India",70,3.25,3,"Yes","Yes","No","No","No","Yes","No","herbs","mushroom","acidic"
2450,"Arete","U.S.A.",2019,"India",70,3,3,"Yes","Yes","No","No","No","Yes","No","burn butterscotch","rubbery",""
2162,"Argencove","Nicaragua",2018,"Nicaragua",70,3.5,2,"Yes","No","No","No","No","Yes","No","smooth","vegetal",""
2162,"Argencove","Nicaragua",2018,"Nicaragua",70,3.5,2,"Yes","No","No","No","No","Yes","No","roasty","rich cocoa",""
2162,"Argencove","Nicaragua",2018,"Nicaragua",70,3.25,2,"Yes","No","No","No","No","Yes","No","melon","late hammy",""
2166,"Argencove","Nicaragua",2018,"Nicaragua",70,3,2,"Yes","No","No","No","No","Yes","No","cocoa","earthy","hammy"
300,"Artisan du Chocolat","U.K.",2008,"Congo",72,3.75,3,"Yes","Yes","No","No","No","Yes","No","spicy","minty","vegetal"
363,"Artisan du Chocolat","U.K.",2009,"Dominican Republic",72,3.25,3,"Yes","Yes","No","No","No","Yes","No","spice","cocoa","short"
363,"Artisan du Chocolat","U.K.",2009,"Madagascar",80,3,3,"Yes","Yes","No","No","No","Yes","No","sl. bitter","cherry","rich"
363,"Artisan du Chocolat","U.K.",2009,"Peru",75,3,3,"Yes","Yes","No","No","No","Yes","No","spicey","mild metallic",""
355,"Artisan du Chocolat","U.K.",2009,"Indonesia",72,2.75,3,"Yes","Yes","No","No","No","Yes","No","gritty","very smokey","sour"
355,"Artisan du Chocolat","U.K.",2009,"Venezuela",75,2.5,3,"Yes","Yes","No","No","No","Yes","No","oily","nutty","burnt"
363,"Artisan du Chocolat","U.K.",2009,"Brazil",72,1.75,3,"Yes","Yes","No","No","No","Yes","No","cocoa","dominate off note",""
531,"Artisan du Chocolat","U.K.",2010,"Jamaica",72,3.75,3,"Yes","Yes","No","No","No","Yes","No","grassy","black licorice","mint"
600,"Artisan du Chocolat","U.K.",2010,"Indonesia",72,3.5,3,"Yes","Yes","No","No","No","Yes","No","black pepper and banana","",""
600,"Artisan du Chocolat","U.K.",2010,"Costa Rica",72,3.25,3,"Yes","Yes","No","No","No","Yes","No","chewy","grassy","nutty"
600,"Artisan du Chocolat","U.K.",2010,"Vietnam",72,3.25,3,"Yes","Yes","No","No","No","Yes","No","unrefined","distinct spicey",""
729,"Artisan du Chocolat","U.K.",2011,"Haiti",72,4,3,"Yes","Yes","No","No","No","Yes","No","nuts","butterscotch","brownie"
745,"Artisan du Chocolat","U.K.",2011,"Panama",72,2.75,3,"Yes","Yes","No","No","No","Yes","No","blackpepper","chemical","rubber"
947,"Artisan du Chocolat","U.K.",2012,"Colombia",72,3.75,3,"Yes","Yes","No","No","No","Yes","No","marshmallow","roasty","nutty"
1193,"Artisan du Chocolat","U.K.",2013,"Trinidad",72,3.25,3,"Yes","Yes","No","No","No","Yes","No","gritty","nutty",""
1181,"Artisan du Chocolat (Casa Luker)","U.K.",2013,"Colombia",72,2.75,4,"Yes","Yes","No","Yes","No","Yes","No","creamy","marshmallow","off"
175,"Askinosie","U.S.A.",2007,"Ecuador",70,3,2,"Yes","No","No","No","No","Yes","No","smooth","astringent","cocoa"
141,"Askinosie","U.S.A.",2007,"Mexico",75,2.5,2,"Yes","No","No","No","No","Yes","No","leather","black licorice","off"
331,"Askinosie","U.S.A.",2009,"Philippines",77,3.75,2,"Yes","No","No","No","No","Yes","No","strawberries","mild tart","roasty"
647,"Askinosie","U.S.A.",2011,"Tanzania",72,3.75,2,"Yes","No","No","No","No","Yes","No","creamy","woody","cocoa"
661,"Askinosie","U.S.A.",2011,"Honduras",70,3.75,2,"Yes","No","No","No","No","Yes","No","grapes","woody","roasty"
1780,"Askinosie","U.S.A.",2016,"Tanzania",68,3.75,3,"Yes","Yes","No","No","No","Yes","No","creamy","rich","blueberry"
2434,"Atypic","Australia",2019,"Solomon Islands",70,3,4,"Yes","Yes","No","Yes","No","Yes","No","off aroma","vegetal","honey"
2056,"Auro","Philippines",2018,"Philippines",70,3.5,3,"Yes","Yes","No","No","No","Yes","No","long","bright fruit","sweet"
2056,"Auro","Philippines",2018,"Philippines",70,3,3,"Yes","Yes","No","No","No","Yes","No","waxy","dried fruit",""
2056,"Auro","Philippines",2018,"Philippines",70,3,3,"Yes","Yes","No","No","No","Yes","No","sandy","roasty","nutty"
2056,"Auro","Philippines",2018,"Philippines",77,2.75,4,"Yes","No","Yes","Yes","No","Yes","No","sandy","vanilla",""
995,"Bahen & Co.","Australia",2012,"Madagascar",70,3,2,"Yes","No","No","No","No","Yes","No","unrefined","flat","grassy"
999,"Bahen & Co.","Australia",2012,"Brazil",70,2.5,2,"Yes","No","No","No","No","Yes","No","chalky","intense","chemical"
999,"Bahen & Co.","Australia",2012,"Blend",70,2.5,2,"Yes","No","No","No","No","Yes","No","chalky","fragrant","then off"
1474,"Bahen & Co.","Australia",2015,"Papua New Guinea",70,3.5,2,"Yes","No","No","No","No","Yes","No","smoke","ham","papaya"
1474,"Bahen & Co.","Australia",2015,"Blend",80,3.25,2,"Yes","No","No","No","No","Yes","No","coarse","smokey","metallic"
2146,"Baiani","Brazil",2018,"Brazil",70,3,2,"Yes","No","No","No","No","Yes","No","bland","sugary","large grits"
1454,"Bakau","Peru",2015,"Peru",70,3.5,3,"Yes","Yes","No","No","No","Yes","No","black pepper","cardamom",""
1454,"Bakau","Peru",2015,"Peru",70,2.75,3,"Yes","Yes","No","No","No","Yes","No","molasses","caramel","pungent"
2294,"Bankston","U.S.A.",2019,"Tanzania",72,3.25,3,"Yes","Yes","No","No","No","Yes","No","base cocoa","mild fruit","roasty"
2294,"Bankston","U.S.A.",2019,"Uganda",82,2.75,3,"Yes","Yes","No","No","No","Yes","No","bitter","fatty","mild fruit"
2290,"Bankston","U.S.A.",2019,"Belize",72,2.5,3,"Yes","Yes","No","No","No","Yes","No","gritty","fatty","sour"
983,"Bar Au Chocolat","U.S.A.",2012,"Madagascar",70,3.75,2,"Yes","No","No","No","No","Yes","No","raspberry","mild sour",""
983,"Bar Au Chocolat","U.S.A.",2012,"Mexico",70,3.5,2,"Yes","No","No","No","No","Yes","No","molasses","toffee","coffee grounds"
983,"Bar Au Chocolat","U.S.A.",2012,"Dominican Republic",70,3.25,2,"Yes","No","No","No","No","Yes","No","complex","black pepper","coffee"
1295,"Bar Au Chocolat","U.S.A.",2014,"Peru",70,4,2,"Yes","No","No","No","No","Yes","No","creamy","rounded","orange"
1554,"Bar Au Chocolat","U.S.A.",2015,"Brazil",70,3.5,2,"Yes","No","No","No","No","Yes","No","intense","smokey","dried fruit"
1980,"Bar Au Chocolat","U.S.A.",2017,"Costa Rica",72,3.5,2,"Yes","No","No","No","No","Yes","No","slightly dry","cocoa","berry"
1980,"Bar Au Chocolat","U.S.A.",2017,"Trinidad",80,3.5,2,"Yes","No","No","No","No","Yes","No","intense","tangy","alcohol"
955,"Baravelli's","Wales",2012,"Costa Rica",80,2.75,4,"Yes","Yes","Yes","No","No","Yes","No","gritty","floral","vanilla"
1868,"Batch","U.S.A.",2016,"Brazil",70,3.75,3,"Yes","Yes","No","No","No","Yes","No","strawberry","candy flavor",""
1840,"Batch","U.S.A.",2016,"Dominican Republic",65,3.5,3,"Yes","Yes","No","No","No","Yes","No","creamy","sweet","fudgey"
1880,"Batch","U.S.A.",2016,"Ecuador",65,3.25,3,"Yes","Yes","No","No","No","Yes","No","sandy","floral","sweet"
2374,"Bean","U.K.",2019,"Peru",70,2.25,4,"Yes","Yes","Yes","No","No","Yes","No","strong vanilla","off notes",""
1948,"Beau Cacao","U.K.",2017,"Malaysia",72,3.25,3,"Yes","Yes","No","No","No","Yes","No","smokey","woody","tobacco"
1948,"Beau Cacao","U.K.",2017,"Malaysia",73,3,3,"Yes","Yes","No","No","No","Yes","No","caramel","spice","earthy"
1784,"Beehive","U.S.A.",2016,"Brazil",80,2.75,3,"Yes","Yes","No","No","No","Yes","No","intense","bitter","dry"
1784,"Beehive","U.S.A.",2016,"Dominican Republic",70,2.75,3,"Yes","Yes","No","No","No","Yes","No","sandy","sweet","molasses"
1784,"Beehive","U.S.A.",2016,"Ecuador",70,2.75,3,"Yes","Yes","No","No","No","Yes","No","intense","floral","black pepper"
1788,"Beehive","U.S.A.",2016,"Ecuador",90,2.75,3,"Yes","Yes","No","No","No","Yes","No","intense floral","bitter","earthy"
586,"Belcolade","Belgium",2010,"Ecuador",71,3.5,4,"Yes","Yes","No","Yes","No","Yes","No","dry","cinamon","nutmeg"
