"passenger","pclass","survived","name","age","embarked","home.dest","room","ticket","boat","sex"
  27,"1st","Yes","Blank, Mr Henry                                               ","39    ","Cherbourg  ","Glen Ridge, NJ                                    ","A-31        ","                    ","7    ","male  "
  28,"1st","Yes","Bonnell, Miss Caroline                                        ","30    ","Southampton","Youngstown, OH                                    ","C-7         ","                    ","8    ","female"
  29,"1st","Yes","Bonnell, Miss Elizabeth                                       ","58    ","Southampton","Birkdale, England Cleveland, Ohio                 ","C-103       ","                    ","8    ","female"
  30,"1st","No ","Borebank, Mr John James                                       ",".     ","Southampton","London / Winnipeg, MB                             ","D-21/2      ","                    ","     ","male  "
  31,"1st","Yes","Bowen, Miss Grace Scott                                       ","45    ","Cherbourg  ","Cooperstown, NY                                   ","            ","                    ","4    ","female"
  32,"1st","Yes","Bowerman, Miss Elsie Edith                                    ","22    ","Southampton","St Leonards-on-Sea, England Ohio                  ","            ","                    ","6    ","female"
  33,"1st","Yes","Bradley, Mr George                                            ",".     ","Southampton","Los Angeles, CA                                   ","            ","                    ","15   ","male  "
  34,"1st","No ","Brady, Mr John Bertram                                        ","41    ","Southampton","Pomeroy, WA                                       ","            ","                    ","     ","male  "
  35,"1st","No ","Brandeis, Mr Emil                                             ","48    ","Cherbourg  ","Omaha, NE                                         ","            ","17591 L50 9s 11d    ","-208 ","male  "
  36,"1st","No ","Brewe, Dr Arthur Jackson                                      ",".     ","Cherbourg  ","Philadelphia, PA                                  ","            ","                    ","     ","male  "
  37,"1st","Yes","Brown, Mrs James Joseph (Margaret Molly Tobin)                ","44    ","Cherbourg  ","Denver, CO                                        ","            ","17610 L27 15s 5d    ","6    ","female"
  38,"1st","Yes","Brown, Mrs John Murray (Caroline Lane Lamson)                 ","59    ","Southampton","Belmont, MA                                       ","C-101       ","                    ","D    ","female"
  39,"1st","Yes","Bucknell, Mrs William Robert (Emma Eliza Ward)                ","60    ","Cherbourg  ","Philadelphia, PA                                  ","            ","                    ","8    ","female"
  40,"1st","No ","Butt, Major Archibald Willingham                              ","45    ","Southampton","Washington, DC                                    ","            ","                    ","     ","male  "
  41,"1st","Yes","Calderhead, Mr Edward P.                                      ",".     ","Southampton","New York, NY                                      ","            ","                    ","7-May","male  "
  42,"1st","Yes","Candee, Mrs Edward (Helen Churchill Hungerford)               ","53    ","Cherbourg  ","Washington, DC                                    ","            ","                    ","6    ","female"
  43,"1st","Yes","Cardeza, Mrs James Warburton Martinez (Charlotte Wardle Drake)","58    ","Cherbourg  ","Germantown, Philadelphia, PA                      ","B-51/3/5    ","17755 L512 6s       ","3    ","female"
  44,"1st","Yes","Cardeza, Mr Thomas Drake Martinez                             ","36    ","Cherbourg  ","Austria-Hungary / Germantown, Philadelphia, PA    ","B-51/3/5    ","17755 L512 6s       ","3    ","male  "
  45,"1st","No ","Carlsson, Mr Frans Olof                                       ","33    ","Southampton","New York, NY                                      ","            ","                    ","     ","male  "
  46,"1st","No ","Carrau, Mr Francisco M.                                       ",".     ","Southampton","Montevideo, Uruguay                               ","            ","                    ","     ","male  "
  47,"1st","No ","Carrau, Mr Jose Pedro                                         ",".     ","Southampton","Montevideo, Uruguay                               ","            ","                    ","     ","male  "
  48,"1st","Yes","Carter, Mr William Ernest                                     ","36    ","Southampton","Bryn Mawr, PA                                     ","            ","                    ","C    ","male  "
  49,"1st","Yes","Carter, Mrs William Ernest (Lucile Polk)                      ","36    ","Southampton","Bryn Mawr, PA                                     ","            ","                    ","4    ","female"
  50,"1st","Yes","Carter, Miss Lucile Polk                                      ","14    ","Southampton","Bryn Mawr, PA                                     ","            ","                    ","4    ","female"
  51,"1st","Yes","Carter, Master William T. II                                  ","11    ","Southampton","Bryn Mawr, PA                                     ","            ","                    ","4    ","male  "
  52,"1st","No ","Case, Mr Howard Brown                                         ","49    ","Southampton","Ascot, Berkshire / Rochester, NY                  ","            ","                    ","     ","male  "
  53,"1st","Yes","Cassebeer, Mrs Henry Arthur jr (Genevieve Fosdick)            ",".     ","Cherbourg  ","New York, NY                                      ","            ","                    ","5    ","female"
  54,"1st","No ","Cavendish, Mr Tyrell William                                  ","36    ","Southampton","Little Onn Hall, Staffs                           ","            ","                    ","-172 ","male  "
  55,"1st","Yes","Cavendish, Mrs Tyrell William Julia Florence Siegel           ",".     ","Southampton","Little Onn Hall, Staffs                           ","            ","                    ","6    ","female"
  56,"1st","No ","Chaffee, Mr Herbert Fuller                                    ","46    ","Southampton","Amenia, ND                                        ","            ","                    ","     ","male  "
  57,"1st","Yes","Chaffee, Mrs Herbert Fuller (Carrie Constance Toogood)        ","47    ","Southampton","Amenia, ND                                        ","            ","                    ","     ","female"
  58,"1st","Yes","Chambers, Mr Norman Campbell                                  ","27    ","Southampton","New York, NY / Ithaca, NY                         ","            ","                    ","5    ","male  "
  59,"1st","Yes","Chambers, Mrs Norman Campbell (Bertha Griggs)                 ","31    ","Southampton","New York, NY / Ithaca, NY                         ","            ","                    ","5    ","female"
  60,"1st","Yes","Cherry, Miss Gladys                                           ",".     ","Southampton","London, England                                   ","            ","                    ","8    ","female"
  61,"1st","Yes","Chevre, Mr Paul                                               ",".     ","Cherbourg  ","Paris, France                                     ","            ","                    ","7    ","male  "
  62,"1st","Yes","Chibnall (Bowerman), Mrs Edith Martha                         ",".     ","Southampton","St Leonards-on-Sea, England Ohio                  ","            ","                    ","6    ","female"
  63,"1st","No ","Chisholm, Mr Roderick Robert                                  ",".     ","           ","Liverpool, England / Belfast                      ","            ","                    ","     ","male  "
  64,"1st","No ","Clark, Mr Walter Miller                                       ","27    ","Cherbourg  ","Los Angeles, CA                                   ","C-87        ","                    ","     ","male  "
  65,"1st","Yes","Clark, Mrs Walter Miller (Virginia McDowell)                  ","26    ","Cherbourg  ","Los Angeles, CA                                   ","C-87        ","                    ","4    ","female"
  66,"1st","No ","Clifford, Mr George Quincy                                    ",".     ","Southampton","Stoughton, MA                                     ","            ","                    ","     ","male  "
  67,"1st","No ","Colley, Mr Edward Pomeroy                                     ",".     ","Southampton","Victoria, BC                                      ","            ","                    ","     ","male  "
  68,"1st","Yes","Compton, Mrs Alexander Taylor (Mary Eliza Ingersoll)          ","64    ","Cherbourg  ","Lakewood, NJ                                      ","            ","                    ","14   ","female"
  69,"1st","No ","Compton, Mr Alexander Taylor, Jr                              ","37    ","Cherbourg  ","Lakewood, NJ                                      ","            ","                    ","     ","male  "
  70,"1st","Yes","Compton, Miss Sara Rebecca                                    ","39    ","Cherbourg  ","Lakewood, NJ                                      ","            ","                    ","14   ","female"
  71,"1st","Yes","Cornell, Mrs Robert Clifford (Malvina Helen Lamson)           ","55    ","Southampton","New York, NY                                      ","C-101       ","                    ","2    ","female"
  72,"1st","No ","Crafton, Mr John Bertram                                      ",".     ","Southampton","Roachdale, IN                                     ","            ","                    ","     ","male  "
  73,"1st","No ","Crosby, Captain Edward Gifford                                ","70    ","Southampton","Milwaukee, WI                                     ","            ","                    ","-269 ","male  "
  74,"1st","Yes","Crosby, Mrs Edward Gifford (Catherine Elizabeth Halstead)     ","69    ","Southampton","Milwaukee, WI                                     ","            ","                    ","5    ","female"
  75,"1st","Yes","Crosby, Miss Harriet R.                                       ","36    ","Southampton","Milwaukee, WI                                     ","            ","                    ","5    ","female"
  76,"1st","No ","Cumings, Mr John Bradley                                      ","39    ","Cherbourg  ","New York, NY                                      ","C-85        ","                    ","     ","male  "
  77,"1st","Yes","Cumings, Mrs John Bradley (Florence Briggs Thayer)            ","38    ","Cherbourg  ","New York, NY                                      ","C-85        ","                    ","4    ","female"
  78,"1st","Yes","Daly, Mr Peter Denis                                          ",".     ","Southampton","Lima, Peru                                        ","            ","                    ","A    ","male  "
  79,"1st","Yes","Daniel, Mr Robert Williams                                    ","27    ","Southampton","Philadelphia, PA                                  ","            ","                    ","7    ","male  "
  80,"1st","No ","Davidson, Mr Thornton                                         ","31    ","Southampton","Montreal, PQ                                      ","            ","                    ","     ","male  "
  81,"1st","Yes","Davidson, Mrs Thornton (Orian Hays)                           ","27    ","Southampton","Montreal, PQ                                      ","            ","                    ","3    ","female"
  82,"1st","Yes","de Villiers, Madame Berthe                                    ",".     ","Cherbourg  ","Belgium  Montreal, PQ                             ","            ","                    ","6    ","female"
  83,"1st","Yes","Dick, Mr Albert Adrian                                        ","31    ","Cherbourg  ","Calgary, AB                                       ","            ","                    ","3    ","male  "
  84,"1st","Yes","Dick, Mrs Albert Adrian Vera Gillespie                        ","17    ","Cherbourg  ","Calgary, AB                                       ","            ","                    ","3    ","female"
  85,"1st","Yes","Dodge, Dr. Washington                                         ",".     ","Southampton","San Francisco, CA                                 ","            ","                    ","13   ","male  "
  86,"1st","Yes","Dodge, Mrs Washington (Ruth Vidaver)                          ",".     ","Southampton","San Francisco, CA                                 ","            ","                    ","7-May","female"
  87,"1st","Yes","Dodge, Master Washington                                      ","4     ","Southampton","San Francisco, CA                                 ","            ","                    ","7-May","male  "
  88,"1st","Yes","Douglas, Mrs Frederick Charles (Suzette Baxter)               ","27    ","Cherbourg  ","Montreal, PQ                                      ","            ","                    ","6    ","female"
  89,"1st","No ","Douglas, Mr Walter Donald                                     ","50    ","Cherbourg  ","Deephaven, MN / Cedar Rapids, IA                  ","            ","                    ","-62  ","male  "
  90,"1st","Yes","Douglas, Mrs Walter Donald (Mahala Dutton)                    ","48    ","Cherbourg  ","Deephaven, MN / Cedar Rapids, IA                  ","            ","                    ","2    ","female"
  91,"1st","Yes","Duff Gordon, Sir Cosmo Edmund                                 ","49    ","Cherbourg  ","London / Paris                                    ","            ","11755 L39 12s       ","1    ","male  "
  92,"1st","Yes","Duff Gordon, Lady (Lucille Wallace Sutherland)                ","48    ","Cherbourg  ","London / Paris                                    ","            ","17485 L56 18s 7d    ","1    ","female"
  93,"1st","No ","Dulles, Mr William Crothers                                   ","39    ","Cherbourg  ","Philadelphia, PA                                  ","            ","                    ","-133 ","male  "
  94,"1st","Yes","Earnshaw, Mrs Boulton (Olive Potter)                          ","23    ","Cherbourg  ","Mt Airy, Philadelphia, PA                         ","            ","                    ","7    ","female"
  95,"1st","Yes","Eustis, Miss Elizabeth Mussey                                 ","53    ","Cherbourg  ","Brookline, MA                                     ","            ","                    ","4    ","female"
  96,"1st","No ","Evans, Miss Edith Corse                                       ","36    ","Cherbourg  ","New York, NY                                      ","            ","                    ","     ","female"
  97,"1st","Yes","Flegenheim, Mrs Alfred (Antoinette)                           ",".     ","Cherbourg  ","New York, NY                                      ","            ","                    ","7    ","female"
  98,"1st","Yes","Flynn, Mr John Irving                                         ",".     ","Southampton","Brooklyn, NY                                      ","            ","                    ","7-May","male  "
  99,"1st","No ","Foreman, Mr Benjamin Laventall                                ","30    ","Cherbourg  ","New York, NY                                      ","            ","                    ","     ","male  "
 100,"1st","Yes","Fortune, Miss Alice Elizabeth                                 ","24    ","Southampton","Winnipeg, MB                                      ","            ","                    ","10   ","female"
 101,"1st","No ","Fortune, Mr Charles Alexander                                 ","19    ","Southampton","Winnipeg, MB                                      ","            ","                    ","     ","male  "
 102,"1st","Yes","Fortune, Miss Ethel Flora                                     ","28    ","Southampton","Winnipeg, MB                                      ","            ","                    ","10   ","female"
 103,"1st","Yes","Fortune, Miss Mabel                                           ","23    ","Southampton","Winnipeg, MB                                      ","            ","                    ","10   ","female"
 104,"1st","No ","Fortune, Mr Mark                                              ","64    ","Southampton","Winnipeg, MB                                      ","            ","                    ","     ","male  "
 105,"1st","Yes","Fortune, Mrs Mark (Mary McDougald)                            ","60    ","Southampton","Winnipeg, MB                                      ","            ","                    ","10   ","female"
 106,"1st","No ","Franklin, Mr Thomas Parham                                    ",".     ","Southampton","Westcliff-on-Sea, Essex                           ","            ","                    ","     ","male  "
 107,"1st","Yes","Frauenthal, Dr Henry William                                  ","49    ","Cherbourg  ","New York, NY                                      ","            ","                    ","5    ","male  "
 108,"1st","Yes","Frauenthal, Mrs Henry William (Clara Heinsheimer)             ",".     ","Cherbourg  ","New York, NY                                      ","            ","                    ","5    ","female"
 109,"1st","Yes","Frauenthal, Mr Isaac Gerald                                   ","44    ","Southampton","New York, NY                                      ","            ","                    ","5    ","male  "
 110,"1st","Yes","Frolicher, Miss Marguerite                                    ","22    ","Cherbourg  ","Zurich, Switzerland                               ","            ","                    ","5    ","female"
 111,"1st","Yes","Frolicher-Stehli, Mr Maxmillian                               ","60    ","Cherbourg  ","Zurich, Switzerland                               ","            ","                    ","5    ","male  "
 112,"1st","Yes","Frolicher-Stehli, Mrs Maxmillian (Margaretha Emerentia Stehli)","48    ","Cherbourg  ","Zurich, Switzerland                               ","            ","                    ","5    ","female"
 113,"1st","No ","Futrelle, Mr Jacques                                          ","37    ","Southampton","Scituate, MA                                      ","            ","                    ","     ","male  "
 114,"1st","Yes","Futrelle, Mrs Jacques (May Peel)                              ","35    ","Southampton","Scituate, MA                                      ","            ","                    ","9    ","female"
 115,"1st","No ","Gee, Mr Arthur H.                                             ","47    ","Southampton","St Anne's-on-Sea, Lancashire                      ","            ","                    ","-275 ","male  "
 116,"1st","Yes","Gibson, Miss Dorothy                                          ","22    ","Cherbourg  ","New York, NY                                      ","            ","                    ","7    ","female"
 117,"1st","Yes","Gibson, Mrs Leonard (Pauline C. Boeson)                       ","45    ","Cherbourg  ","New York, NY                                      ","            ","                    ","7    ","female"
 118,"1st","Yes","Goldenberg, Mr Samuel L.                                      ","49    ","Cherbourg  ","Paris, France / New York, NY                      ","            ","                    ","5    ","male  "
 119,"1st","Yes","Goldenberg, Mrs Samuel L. (Edwiga Grabowsko)                  ",".     ","Cherbourg  ","Paris, France / New York, NY                      ","            ","                    ","5    ","female"
 120,"1st","No ","Goldschmidt, Mr George B.                                     ","71    ","Cherbourg  ","New York, NY                                      ","            ","                    ","     ","male  "
 121,"1st","Yes","Gracie, Colonel Archibald IV                                  ","54    ","Southampton","Washington, DC                                    ","C-51        ","113780 L28 10s      ","B    ","male  "
 122,"1st","No ","Graham, Mr George Edward                                      ","38    ","Southampton","Winnipeg, MB                                      ","            ","                    ","-147 ","male  "
 123,"1st","Yes","Graham, Miss Margaret Edith                                   ","19    ","Southampton","Greenwich, CT                                     ","C-125       ","17582 L153 9s 3d    ","3    ","female"
 124,"1st","Yes","Graham, Mrs William Thompson (Edith Junkins)                  ","58    ","Southampton","Greenwich, CT                                     ","C-91        ","17582 L153 9s 3d    ","3    ","female"
 125,"1st","Yes","Greenfield, Mrs Leo David (Blanche Strouse)                   ","45    ","Cherbourg  ","New York, NY                                      ","            ","                    ","7    ","female"
 126,"1st","Yes","Greenfield, Mr William Bertram                                ","23    ","Cherbourg  ","New York, NY                                      ","            ","                    ","7    ","male  "
 127,"1st","No ","Guggenheim, Mr Benjamin                                       ","46    ","Cherbourg  ","New York, NY                                      ","B-82/4      ","17593 L56 18s 7d    ","     ","male  "
 128,"1st","Yes","Harder, Mr George Achilles                                    ","25    ","Cherbourg  ","Brooklyn, NY                                      ","            ","                    ","5    ","male  "
 129,"1st","Yes","Harder, Mrs George Achilles (Dorothy Annan)                   ","21    ","Cherbourg  ","Brooklyn, NY                                      ","            ","                    ","5    ","female"
 130,"1st","Yes","Harper, Mr Henry Sleeper                                      ","48    ","Cherbourg  ","New York, NY                                      ","            ","                    ","3    ","male  "
 131,"1st","Yes","Harper, Mrs Henry Sleeper (Myna Haxtun)                       ","49    ","Cherbourg  ","New York, NY                                      ","            ","                    ","3    ","female"
 132,"1st","No ","Harris, Mr Henry Birkhardt                                    ","45    ","Southampton","New York, NY                                      ","C-83        ","36973 L83 9s 6d     ","     ","male  "
 133,"1st","Yes","Harris, Mrs Henry Birkhardt (Irene Wallach)                   ","36    ","Southampton","New York, NY                                      ","C-83        ","36973 L83 9s 6d     ","D    ","female"
 134,"1st","Yes","Hawksford, Mr Walter James                                    ",".     ","Southampton","Kingston, Surrey                                  ","            ","                    ","3    ","male  "
 135,"1st","No ","Hays, Mr Charles Melville                                     ","55    ","Southampton","Montreal, PQ                                      ","            ","                    ","-307 ","male  "
 136,"1st","Yes","Hays, Mrs Charles Melville (Clara Jennings Gregg)             ","52    ","Southampton","Montreal, PQ                                      ","            ","                    ","3    ","female"
 137,"1st","Yes","Hays, Miss Margaret Bechstein                                 ","24    ","Southampton","New York, NY                                      ","            ","                    ","7    ","female"
 138,"1st","No ","Head, Mr Christopher                                          ",".     ","Southampton","London / Middlesex                                ","            ","                    ","     ","male  "
 139,"1st","No ","Hilliard, Mr Herbert Henry                                    ",".     ","Southampton","Brighton, MA                                      ","            ","                    ","     ","male  "
 140,"1st","No ","Hipkins, Mr William Edward                                    ",".     ","Southampton","London / Birmingham                               ","            ","                    ","     ","male  "
 141,"1st","Yes","Hippach, Miss Jean Gertrude                                   ","16    ","Cherbourg  ","Chicago, IL                                       ","B-18        ","111361 L57 19s 7d   ","4    ","female"
 142,"1st","Yes","Hippach, Mrs Louis Albert (Ida Sophia Fischer)                ","44    ","Cherbourg  ","Chicago, IL                                       ","B-18        ","111361 L57 19s 7d   ","4    ","female"
 143,"1st","Yes","Hogeboom, Mrs John C. (Anna Andrews)                          ","51    ","Southampton","Hudson, NY                                        ","D-?         ","13502 L77           ","10   ","female"
 144,"1st","No ","Holverson, Mr Alexander Oskar                                 ","42    ","Southampton","New York, NY                                      ","            ","                    ","-38  ","male  "
 145,"1st","Yes","Holverson, Mrs Alexander Oskar (Mary Aline Towner)            ","35    ","Southampton","New York, NY                                      ","            ","                    ","     ","female"
 146,"1st","Yes","Homer, Mr Harry                                               ","35    ","Cherbourg  ","Indianapolis, IN                                  ","            ","                    ","15   ","male  "
 147,"1st","Yes","Hoyt, Mr Frederick Maxfield                                   ","38    ","Southampton","New York, NY /  Stamford CT                       ","C-93        ","                    ","D    ","male  "
 148,"1st","Yes","Hoyt, Mrs Frederick Maxfield (Jane Anne Forby)                ","35    ","Southampton","New York, NY /  Stamford CT                       ","C-93        ","                    ","D    ","female"
 149,"1st","No ","Hoyt, Mr William F.                                           ",".     ","Cherbourg  ","New York, NY                                      ","            ","                    ","14   ","male  "
 150,"1st","No ","Isham, Miss Anne Elizabeth                                    ","50    ","Cherbourg  ","Paris, France New York, NY                        ","C-49        ","                    ","     ","female"
 151,"1st","Yes","Ismay, Mr Joseph Bruce                                        ","49    ","Southampton","Liverpool                                         ","B-52/4/6    ","112058 Complimentary","C    ","male  "
 152,"1st","No ","Jones, Mr Charles Cresson                                     ","46    ","Southampton","Bennington, VT                                    ","            ","                    ","-80  ","male  "
 153,"1st","No ","Julian, Mr Henry Forbes                                       ",".     ","Southampton","London                                            ","            ","                    ","     ","male  "
 154,"1st","No ","Kent, Mr Edward Austin                                        ","58    ","Cherbourg  ","Buffalo, NY                                       ","            ","                    ","-258 ","male  "
 155,"1st","No ","Kenyon, Mr Frederick R.                                       ","41    ","Southampton","Southington / Noank, CT                           ","            ","                    ","     ","male  "
 156,"1st","Yes","Kenyon, Mrs Frederick R. (Marion)                             ",".     ","Southampton","Southington / Noank, CT                           ","            ","                    ","8    ","female"
 157,"1st","Yes","Kimball, Mr Edwin Nelson Jr.                                  ","42    ","Southampton","Boston, MA                                        ","            ","                    ","5    ","male  "
 158,"1st","Yes","Kimball, Mrs Edwin Nelson Jr. (Gertrude Parsons)              ","40    ","Southampton","Boston, MA                                        ","            ","                    ","5    ","female"
 159,"1st","No ","Klaber, Mr Herman                                             ",".     ","Southampton","Portland, OR                                      ","            ","                    ","     ","male  "
 160,"1st","Yes","Leader, Dr Alice Farnham                                      ",".     ","Southampton","New York, NY                                      ","            ","                    ","8    ","female"
 161,"1st","No ","Lewy, Mr Ervin G.                                             ",".     ","Cherbourg  ","Chicago, IL                                       ","            ","                    ","     ","male  "
 162,"1st","No ","Lindeberg-Lind, Mr Erik Gustaf                                ","42    ","Southampton","Stockholm, Sweden                                 ","            ","                    ","     ","male  "
 163,"1st","Yes","Lindstrom, Mrs Carl Johan (Sigrid Posse)                      ","55    ","Cherbourg  ","Stockholm, Sweden                                 ","            ","                    ","6    ","female"
 164,"1st","Yes","Lines, Mrs Ernest H. (Elizabeth Lindsey James)                ","50    ","Cherbourg  ","Paris, France                                     ","            ","                    ","9    ","female"
 165,"1st","Yes","Lines, Miss Mary Conover                                      ","16    ","Cherbourg  ","Paris, France                                     ","            ","                    ","9    ","female"
 166,"1st","No ","Lingrey, Mr Edward                                            ",".     ","           ","                                                  ","            ","                    ","     ","male  "
 167,"1st","No ","Long, Mr Milton Clyde                                         ","29    ","Southampton","Springfield, MA                                   ","            ","                    ","-126 ","male  "
 168,"1st","Yes","Longley, Miss Gretchen Fiske                                  ","21    ","Southampton","Hudson, NY                                        ","D-?         ","13502 L77           ","10   ","female"
 169,"1st","No ","Loring, Mr Joseph Holland                                     ","30    ","Southampton","London / New York, NY                             ","            ","                    ","     ","male  "
 170,"1st","Yes","Madill, Miss Georgette Alexandra                              ","15    ","Southampton","St Louis, MO                                      ","B-5         ","24160 L221          ","2    ","female"
 171,"1st","No ","Maguire, Mr John Edward                                       ","30    ","Southampton","Brockton, MA                                      ","            ","                    ","     ","male  "
 172,"1st","Yes","Marechal, Mr Pierre                                           ",".     ","Cherbourg  ","Paris, France                                     ","            ","                    ","7    ","male  "
 173,"1st","No ","Marvin, Mr Daniel Warner                                      ",".     ","Southampton","New York, NY                                      ","            ","                    ","     ","male  "
 174,"1st","Yes","Marvin, Mrs Daniel Warner (Mary Graham Carmichael Farquarson) ",".     ","Southampton","New York, NY                                      ","            ","                    ","     ","female"
 175,"1st","No ","McCaffry, Mr Thomas Francis                                   ","46    ","Cherbourg  ","Vancouver, BC                                     ","            ","                    ","-292 ","male  "
 176,"1st","No ","McCarthy, Mr Timothy J.                                       ","54    ","Southampton","Dorchester, MA                                    ","            ","                    ","-175 ","male  "
 177,"1st","Yes","McGough, Mr James R.                                          ","36    ","Southampton","Philadelphia, PA                                  ","            ","                    ","7    ","male  "
 178,"1st","No ","Meyer, Mr Edgar Joseph                                        ","28    ","Cherbourg  ","New York, NY                                      ","            ","                    ","     ","male  "
 179,"1st","Yes","Meyer, Mrs Edgar Joseph (Leila Saks)                          ",".     ","Cherbourg  ","New York, NY                                      ","            ","                    ","6    ","female"
 180,"1st","No ","Millet, Mr Francis Davis                                      ","65    ","Southampton","East Bridgewater, MA                              ","            ","                    ","-249 ","male  "
 181,"1st","Yes","Minahan, Miss Daisy E.                                        ","33    ","Queenstown ","Green Bay, WI                                     ","            ","                    ","14   ","female"
 182,"1st","No ","Minahan, Dr William Edward                                    ","44    ","Queenstown ","Fond du Lac, WI                                   ","            ","                    ","-230 ","male  "
 183,"1st","Yes","Minahan, Mrs William Edward (Lillian E. Thorpe)               ","37    ","Queenstown ","Fond du Lac, WI                                   ","            ","                    ","14   ","female"
 184,"1st","Yes","Mock, Mr Philip E.                                            ",".     ","Cherbourg  ","New York, NY                                      ","            ","                    ","11   ","male  "
 185,"1st","No ","Molson, Mr Harry Markland                                     ","55    ","Southampton","Montreal, PQ                                      ","            ","                    ","     ","male  "
 186,"1st","No ","Moore, Mr Clarence Bloomfield                                 ","47    ","Southampton","Washington, DC                                    ","            ","                    ","     ","male  "
 187,"1st","No ","Natsch, Mr Charles H.                                         ","36    ","Cherbourg  ","Brooklyn, NY                                      ","            ","                    ","     ","male  "
 188,"1st","No ","Newell, Mr Arthur Webster                                     ","58    ","Cherbourg  ","Lexington, MA                                     ","            ","                    ","-122 ","male  "
 189,"1st","Yes","Newell, Miss Madeleine                                        ","31    ","Cherbourg  ","Lexington, MA                                     ","            ","                    ","6    ","female"
 190,"1st","Yes","Newell, Miss Marjorie                                         ","23    ","Cherbourg  ","Lexington, MA                                     ","            ","                    ","6    ","female"
 191,"1st","Yes","Newsom, Miss Helen Monypeny                                   ","19    ","Southampton","New York, NY                                      ","            ","                    ","5    ","female"
